publisher,size,closed,oa
Editorial de la Facultad de Filosofia y Letras - Universidad de Buenos Aires,3,0,3
Geobalcanica Society,6,0,6
Universidade Federal do Triangulo Minero,1,0,1
Asociatia Geograhia Technica,1,0,1
Transnational Press London,1,1,0
Universitat Politecnica de Valencia,7,0,7
Korean Association for the Study of Intestinal Diseases,3,0,3
Korea Society of Environment and Ecology,4,4,0
Universidad Nacional del Litoral,7,0,7
The World Bank,7,7,0
Thomas Telford Ltd.,40,24,16
The Korea Society of Aesthetics and Science of Art,1,1,0
ANU Press,5,0,5
Advanced Research Publications,9,7,2
Universitas Islam Sultan Agung,1,0,1
Nepal Journals Online (JOL),5,0,5
Universitat Autonoma de Barcelona,19,0,19
Pontificia Universidade Catolica de Minas Gerais,1,0,1
Museum National D'Histoire Naturelle,11,0,11
"Blay Publishers, LLC",1,0,1
Intellect,16,15,1
Past Global Changes (PAGES),9,0,9
University of Toronto Press Inc. (UTPress),37,33,4
Canadian Society of Hospital Pharmacists (CSHP),2,0,2
Czech University of Life Sciences Prague,1,0,1
The International Academic Forum (IAFOR),1,0,1
Hollitzer Verlag,7,7,0
Shirshov Institute of Oceanology of Russian Academy of Sciences,2,0,2
IntechOpen,27,0,27
Papers in Physics,2,0,2
"Esmon Publicidad, SA",8,0,8
Human Kinetics,29,14,15
"World Health Organization, Western Pacific Regional Office",3,0,3
Programa de Educação Tutorial de Engenharia Elétrica - UFU,2,0,2
"Vandenhoeck & Ruprecht GmbH & Co, KG",6,5,1
ENAC,15,1,14
"Macrothink Institute, Inc.",4,0,4
Mendel University Press,1,0,1
Health Affairs (Project Hope),6,3,3
The Materials Research Society of Japan,1,0,1
Guilford Publications,3,1,2
Wikiversity Journal of Medicine,3,0,3
Board of Governors of the Federal Reserve System,4,1,3
Czestochowa University of Technology,11,0,11
Editura Universitatii Alexandru Ioan Cuza din Iasi,1,0,1
Bucharest University of Economic Studies,6,0,6
Armenian Green Publishing Co.,7,0,7
LLC Global Media Technology,1,0,1
Instituto de Ciencias Sociais,1,0,1
Museum and Institute of Zoology at the Polish Academy of Sciences,2,1,1
Vilnius Gediminas Technical University,6,0,6
The Oceanography Society,7,0,7
ISCA,57,0,57
Instytut Ekonomiki Rolnictwa i Gospodarki Zywnosciowej Panstwowy Instytut Badawczy,2,0,2
I MED Research Publications,4,0,4
National Institute for Health Research,17,16,1
Editora Dom Helder,2,0,2
EAGE Publications BV,19,14,5
Polskie Towarzystwo Kardiologiczne,1,0,1
Hrvatski Sumarski Institut (Croatian Forest Research),3,0,3
Center for Economic Integration,8,0,8
The French Language and Literature Association of Korea,3,3,0
Bononia University Press,5,0,5
Crimson Publishers,6,0,6
OpenEdition Press,8,0,8
Editorial Pontificia Universidad Javeriana,8,0,8
International Journal of Spine Surgery,1,0,1
International Union of Geological Sciences,2,0,2
EasyChair,4,0,4
American Society of Civil Engineers,8,7,1
Morgan & Claypool Publishers LLC,3,3,0
Hipatia Press,1,0,1
Universidade Federal de Pelotas,13,0,13
Oriental Scientific Publishing Company,5,0,5
Robotics: Science and Systems Foundation,2,0,2
Quebec Nursing Intervention Research Network,1,0,1
Omnia Publisher SL,2,0,2
European Alliance for Innovation n.o.,8,0,8
Entrepreneurship and Sustainability Center,2,0,2
Institute of Geophysics Polish Academy of Sciences,1,0,1
Universitat Politècnica València,27,0,27
"American Association of Petroleum Geologists, Society of Exploration Geophysicists, European Association of Geoscientists and Engineers, and Society of Petroleum Engineers",3,3,0
Society for Social Studies of Science (4S),1,0,1
Kyiv Politechnic Institute,4,0,4
The Korean Society of Water and Wastewater,1,1,0
The Chemical Society of Japan,6,2,4
Oncology Nursing Society (ONS),1,0,1
Wydawnictwo Naukowe Gabriel Borowski (WNGB),1,0,1
VLDB Endowment,11,3,8
Universite du Quebec a Chicoutimi,11,6,5
Florida Entomological Society,1,0,1
Informatics Publishing Limited,1,0,1
IEA SHC Task 54,3,0,3
Edizioni Minerva Medica,35,30,5
American Veterinary Medical Association (AVMA),6,6,0
S. Hirzel Verlag,14,1,13
Rhinology,6,1,5
International Association for Energy Economics (IAEE),7,4,3
Boom Uitgevers Den Haag,9,1,8
"Turkish Online Journal of Design, Art and Communication (TOJDAC)",1,0,1
Australian International Academic Centre,2,0,2
International Centre for Applied Thermodynamics (ICAT),2,0,2
Linköping University Electronic Press,9,0,9
Association Palaeovertebrata,3,1,2
Polskie Towarzystwo Diagnostyki Technicznej,2,0,2
Universidad Federal de Santa Maria,7,0,7
Editorial CSIC,20,0,20
Infectious Disease and Control Branch (IDPCB) - Public Health Agency of Canada,7,0,7
Universidad de Costa Rica,4,0,4
Universite Catholique de Louvain,93,4,89
MECS Publisher,2,0,2
"Instituto Nazionale di Geofisica e Vulcanologia, INGV",5,0,5
Physics Essays Publication,1,0,1
European Respiratory Society,322,306,16
Pro Pharma Communications International,2,0,2
Cornell University Press,4,4,0
Joule Inc.,9,0,9
American Psychological Association (APA),17,12,5
Verein zur Forderung der Fachzeitschrift European Journal for Philosophy of Religion,3,3,0
National Research and Development Institute for Industrial Ecology,4,0,4
American Roentgen Ray Society,13,12,1
Societatea Medicala Romana de Educatie Fizica si Sport/(SMREFS),1,1,0
Universidad de Chile,2,0,2
Edith Cowan University,3,0,3
KSI Research Inc. and Knowledge Systems Institute Graduate School,5,0,5
Centre for Business and Economic Research,1,0,1
International Joint Conferences on Artificial Intelligence Organization,40,0,40
Sciaccess Publishers LLC,1,0,1
Mathematical Society of Japan (Project Euclid),5,1,4
Societa Geologica Italiana,1,1,0
The Physiological Society,1,1,0
"ARKAT USA, Inc.",3,0,3
Geochimica Brasiliensis,1,1,0
Ital Publication,1,0,1
The Archives of Rheumatology,1,0,1
Universidade Catolica Portuguesa,1,0,1
éditions Quae,15,1,14
American Society of Microbiology,12,10,2
Brill | Sense,4,3,1
"University of Western Ontario, Western Libraries",3,0,3
"Hasanuddin University, Faculty of Law",1,0,1
Malaga University,5,0,5
Pontificia Universidad Catolica de Valparaiso,3,0,3
Symbiosis Group,6,0,6
Portal de Periodicos UFPB,10,1,9
Boffin Access Limited,2,0,2
MESTE NGO,3,0,3
American Academy of Sleep Medicine (AASM),7,0,7
Peter Lang CH,3,1,2
Polish Society of Theoretical and Applied Mechanics,3,0,3
American Animal Hospital Association,3,3,0
SRUMB - Romanian Society for Ultrasonography in Medicine and Biology,2,0,2
AOSIS,4,0,4
Turkish Journal of Surgery,1,0,1
Komitet Redakcyjno - Wydawniczy Polskiego Towarzystwa Psychiatrycznego,1,0,1
Ksiegarnia Akademicka Sp. z.o.o.,4,0,4
FSBEIHE North Caucasian Institute of Mining and Metallurgy (STU),2,0,2
Korean Continence Society,4,0,4
Korean Stroke Society,7,0,7
King Abdullah Petroleum Studies and Research Center,1,0,1
IMAPS - International Microelectronics Assembly and Packaging Society,2,2,0
The Korean Society of Pathologists and The Korean Society for Cytopathology,1,0,1
Facultad de Odontologia,1,0,1
Universidade Federal do Parana,3,0,3
NACE International,6,3,3
American Association of Avian Pathologists (AAAP),4,4,0
Faculdade de Letras da UFMG,4,0,4
University of Debrecen/ Debreceni Egyetem,3,0,3
Croatian Society for Medical Biochemistry and Laboratory Medicine,4,0,4
Lupine Publishers LLC,7,0,7
Universidad Nacional de Costa Rica,1,0,1
Our Solar Siblings,1,0,1
University of Tartu,5,0,5
Phanes,1,0,1
Gratis Open Access Publishers LLC,2,0,2
Publishing Center RIOR,1,0,1
Universitat de Valencia,9,0,9
Daedalus Enterprises,14,0,14
Open Access Publishers,2,0,2
University of Waterloo,1,0,1
National Institute of Standards and Technology (NIST),2,0,2
EDUFU - Editora da Universidade Federal de Uberlandia,10,0,10
State Educational-Scientific Establishment The Academy of Financial Management,1,0,1
Korean Society of Epidemiology,3,0,3
International Institute of Anticancer Research,2,1,1
Archaeopress Publishing Ltd,15,14,1
Journal of Mosaic Research,3,0,3
Facet,3,3,0
Ediciones Universidad de Salamanca,8,0,8
KMK Scientific Press,1,0,1
American Bryological and Lichenological Society,3,3,0
Herpetologists League,1,1,0
"Institute of Engineering Science, Ural Branch RAS",1,0,1
Springer Publishing Company,6,6,0
Practical Medicine Publishing House,3,3,0
Kritike: An Online Journal of Philosophy,1,0,1
"Institute of Vertebrate Biology, Academy of Sciences of the Czech Republic",2,2,0
British Ornithologists' Club,1,0,1
Cactus and Succulent Society of America,1,1,0
Society for Music Theory,3,0,3
Progedit - Progetti Editoriali srl,1,0,1
Servier International,3,0,3
"Harborside Press, LLC",4,0,4
Gruppo Italiano Frattura,3,0,3
VBRI Press AB,2,2,0
Istanbul University,1,0,1
Linkoping University Electronic Press,3,0,3
Slovenian Society for Stereology and Quantitative Image Analysis,3,0,3
Apple Academic Press,1,1,0
MDPI,17,0,17
Universidad Nacional de Rosario,1,0,1
Brock University Library,2,0,2
Latvia University of Life Sciences and Technologies,5,0,5
University of Hradec Kralove,3,0,3
Rivera Publications Inc.,1,0,1
Scandinavian University Press / Universitetsforlaget AS,9,0,9
Universidade Federal de Santa Catarina (UFSC),9,0,9
Aufklarung Journal of Philosophy,1,0,1
Editorial de la Universidad de Granada,4,0,4
IADIS - International Association for the Development of the Information Society,2,0,2
Societa Italiana di Vittimologia,2,0,2
Trakia University,8,0,8
Global Journal of Oral Science,1,1,0
Biomedical Research and Therapy,1,0,1
International Association for Food Protection,4,3,1
Oslo and Akershus University College of Applied Sciences,1,0,1
The IFS,3,0,3
Estudios Irlandeses,3,0,3
Casa Cărţii de Ştiinţă,2,0,2
Universidade de Estado do Rio de Janeiro,7,0,7
"Institute of Theoretical and Applied Informatics, Polish Academy of Sciences",1,0,1
Universidad del Valle,7,0,7
VIBGYOR ePress,3,0,3
Universidade Federal de Minas Gerais - Pro-Reitoria de Pesquisa,3,0,3
VostECO Ltd.,2,0,2
University of Warsaw,17,3,14
Galenos Yayinevi,8,0,8
Xia & He Publishing,2,0,2
Vital Biotech,1,0,1
International Federation of Infection Control,1,1,0
Sociedad Portuguesa de Psicologia da Saude,3,0,3
Revista Tempos e Espacos em Educacao,1,0,1
Sh.Marjani Institute of History of Tatarstan Academy of Sciences,2,0,2
Buketov Karaganda State University,4,0,4
Universiti Malaysia Pahang Publishing,2,0,2
Centro Universitario Sao Camilo - Sao Paulo,1,0,1
The Society of Korea Industrial and Systems Engineering,2,2,0
CMB Association,1,1,0
JVE International Ltd.,5,0,5
Andromeda Publishing and Education Services,1,0,1
University of Kerbala,1,0,1
Carl Hanser Verlag,12,11,1
Cogitatio,2,0,2
"Colegio Mexicano de Inmunologia Clinica y Alergia, A. C.",1,0,1
NeuroQuantology Journal,1,0,1
European Open Access Publishing (Europa Publishing),2,0,2
EduRad,1,0,1
Zhejiang University Press,3,1,2
International Mountain Society (IMS) and United Nations University,1,0,1
"National Museum, Czech Republic",2,0,2
Sociedad Mexicana de Investigacion y Divulgacion de la Educacion Matematica A. C.,3,0,3
"Life Science Alliance, LLC",10,0,10
Education and Technologies Association,1,1,0
Society of Ethnobiology,5,2,3
EDIPUCRS,8,0,8
American Society of Parasitologists,1,0,1
British Society for Plant Pathology,3,0,3
Journal of Integrated Circuits and Systems,3,0,3
Centro Universitario La Salle - UNILASALLE,2,0,2
The International Institute of Knowledge Management-TIIKM,1,0,1
ERM Publications,1,0,1
Faculdade Jesuita de Filosofia e Teologia – FAJE,2,0,2
Kremenchuk Mykhailo Ostohradskyi National University,3,0,3
Pushpa Publishing House,1,1,0
Universidade Caixias do Sul,2,0,2
Universidade Estadual de Campinas,5,0,5
Carleton University,1,0,1
Council for British Archaeology,2,0,2
UNS Solo,2,0,2
Volgograd State University,6,0,6
SJT Trivent SRL,3,0,3
LLC Kazan Publishing House,2,0,2
Led Edizioni Universitarie,7,1,6
Consejo Nacional de Educacion,3,0,3
Max Planck Institute for Demographic Research,3,0,3
Deakin University,1,0,1
Peter Lang D,4,1,3
FAI-UFSCar,1,0,1
Society of Pharmaceutical Tecnocrats,1,0,1
Korean Society of Plastic and Reconstructive Surgeons,3,0,3
Ommega Online Publishers,3,0,3
Sciedu Press,3,0,3
American Educational Research Association (AERA),1,1,0
Transducer Research Foundation,1,0,1
Adam Mickiewicz University Poznan,5,0,5
The Korean Movement Disorder Society,1,0,1
Universidade da Beira Interior,3,0,3
Bioinfo Publications,1,0,1
Nextgen Research Publications,3,0,3
NYU Press,1,1,0
LLC CPC Business Perspectives,2,0,2
Russian Journal of Agricultural and Socio-Economic Sciences,2,0,2
"West Pomeranian University of Technology, Szczecin",3,0,3
The Centre for Philosophical Research,2,0,2
European Journal of Chemistry,2,0,2
The Society of Materials Engineering for Resources of Japan,1,0,1
University of Economics and Human Sciences in Warsaw,1,0,1
Associacao Brasileira de Eletronica de Potencia SOBRAEP,1,0,1
Revista de Direito Administrativo and Constitucional,1,0,1
University Consortium for Geographic Information Science (UCGIS),2,1,1
Lebanon Support,1,0,1
BioMed Research Publishers,5,0,5
"ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales",1,0,1
Places Journal,1,1,0
Izmir Akdeniz Akademisi,2,0,2
Universidad Adolfo Ibanez,1,0,1
De Gruyter Oldenbourg,1,0,1
ICI Bucharest,2,0,2
Servicio de Publicaciones de la Universidad Autonoma de Madrid,5,0,5
Scientific Advances Publishers,3,0,3
National Academy of Sciences of the Republic of Kazakshtan,4,2,2
"AEPress, s.r.o.",1,0,1
Publishing House SB RAS,1,1,0
American Association of Zoo Veterinarians,2,1,1
Humboldt Field Research Institute,1,0,1
Indian National Science Academy,2,0,2
E.U. European Publishing,8,0,8
"Instituto Portugues de Relacoes Internacionais, Universidade Nova de Lisboa",1,0,1
Global Science Press,6,1,5
"Department of Food Science, Bogor Agricultural Food Science",3,0,3
Colegio Oficial de Ingenieros Agrónomos de Centro y Canarias,1,0,1
Polskie Naukowo-Techniczne Towarzystwo Eksploatacyjne,1,0,1
INCAS - National Institute for Aerospace Research Elie Carafoli,3,0,3
"SIGMA (Symmetry, Integrability and Geometry: Methods and Application)",6,0,6
Society of Fiber Science and Technology Japan,1,0,1
Transversal: International Journal for the Historiography of Science,4,0,4
Institute of Mathematics and its Applications,1,0,1
Uniwersytet Kardynala Stefana Wyszynskiego,1,0,1
Matej Bel University in Banska Bystrica,1,1,0
Society for Sedimentary Geology,6,5,1
"University of Zagreb, Faculty of Science, Department of Mathematics",1,0,1
Journal of Experimental Biology and Agricultural Sciences,5,0,5
Les Presses de l'Université d'Ottawa,1,1,0
IJARCS International Journal of Advanced Research in Computer Science,2,0,2
UACES,2,0,2
The Open Journal,3,0,3
Intersections,1,0,1
E-Tree Publishing,1,0,1
Korean Society for Microbiology and Biotechnology,2,0,2
Uniwersytet Przyrodniczy w Poznaniu (Poznan University of Life Sciences),3,0,3
Nosov Magnitogorsk State Technical University,1,0,1
Asian Concrete Federation,1,0,1
ClinMed International Library,2,0,2
"CSRC Publishing, Center for Sustaninability Research and Consultancy",1,0,1
Technomed Holdin­gs LLC,5,2,3
Uniwersytet Gdanski,1,0,1
Sri Lanka Journals Online (JOL),2,0,2
Asian Agricultural and Biological Engineering Association,1,1,0
Michigan Mathematical Journal,1,0,1
Universidad Nacional de Colombia,9,0,9
"Isaac Scientific Publishing Co., Ltd.",10,0,10
"Linha Unica - Edicao e Comunicacao em Saude e Desporto, Lda",1,0,1
Latin American Semiotics Association deSigniS,2,0,2
European Association of Geochemistry,13,0,13
Our Dermatology Online,2,0,2
Universidad Nacional de Cordoba,7,0,7
The Royal Australian College of General Practitioners,2,0,2
Universidade Tecnologica Federal do Parana (UTFPR),1,0,1
"Faculty of Marine Science and Fisheries, Hasanuddin University",1,1,0
Redfame Publishing,3,0,3
Universitas Pendidikan Indonesia (UPI),1,0,1
Distill Working Group,1,0,1
Universitat Rovira I Virgili,1,0,1
Sociedad Geologica Mexicana,1,0,1
Revista Mexicana de Ciencias Agricolas,2,0,2
Wilhelm Fink Verlag,1,1,0
Press of International Journal of Ophthalmology (IJO Press),1,0,1
Pontificia Universidade Catolica do Parana - PUCPR,8,0,8
Erasmus Journal for Philosophy and Economics,1,0,1
Geological Survey of Slovenia,1,0,1
Society for the Study of Amphibians and Reptiles,1,1,0
Springer Fachmedien Wiesbaden GmbH,2,1,1
Purdue University (bepress),1,0,1
Baskent University,5,4,1
Westminster Theological Seminary - WTS,6,0,6
International Society for Phytocosmetic Sciences,1,0,1
New York Business Global LLC,1,0,1
Pierre Guillot,1,0,1
Peter Lang UK,1,1,0
"Institute of Hematology, Catholic University",2,0,2
Brazilian Computer Society (Sociedade Brasileira de Computação - SBC),1,0,1
"Aurora Health Care, Inc.",1,1,0
Alexandru Ioan Cuza University,3,0,3
National Institute of Public Health – National Institute of Hygiene,2,0,2
Instituto de Estudios Auriseculares,3,0,3
Foundation Compositio Mathematica,6,0,6
Institute of Chemistry of Academy of Science of Moldova,1,0,1
Faculty of Technical Sciences,3,0,3
Healthcare of Kazakhstan,1,0,1
IBIMA Publishing,1,0,1
Uniwersytetu Marii Curie-Sklodowskiej w Lublinie,5,0,5
Akademia Humanistyczno-Ekonomiczna w Lodzi,4,0,4
Case Journals,2,2,0
Brighthall,1,0,1
Academic Publications,1,0,1
Mediterranean Journal of Chemistry,3,0,3
Vandenhoeck & Ruprecht,3,1,2
V&R unipress,2,2,0
"El Colegio de Mexico, A.C.",3,0,3
Edicions A Peticio,1,1,0
Pontificia Universidade Catolica de Goias -PUC Goias,1,0,1
Thieme Revinter Publicações Ltda,5,0,5
Eurasian Publications,2,0,2
International Academy Publishing (IAP),2,0,2
Stellenbosch University,5,0,5
MayDay Group,1,0,1
"Harrassowitz, O",6,6,0
VSB - Technical University of Ostrava,1,0,1
Acta Naturae Ltd,3,1,2
Aerospace Medical Association,2,2,0
Entomological Society of Southern Africa,4,4,0
"L and H Scientific Publishing, LLC",3,1,2
American Podiatric Medical Association,2,2,0
EManuscript Services,4,0,4
Universidade Estadual de Londrina,1,0,1
Odessa National Academy of Food Technologies,1,0,1
Surface Science Society Japan,1,0,1
De Gruyter Mouton,1,0,1
Materials Research Forum LLC,6,1,5
Intersentia,2,2,0
The Korean Society of Phycology,1,0,1
Societe de Philosophie des Sciences,5,0,5
Linguistic Society of America,6,0,6
American Physical Society,10,0,10
Avicenna Journals,9,0,9
Universidad de Huelva - UHU,4,0,4
Fundacion Iberoamericana De Las Industrias Culturales Y Creativas,2,0,2
Pereiaslav-Khmelnytskyi Hryhorii Skovoroda State Pedagogical University,1,0,1
Athabasca University Press,1,0,1
"Centre of Sociological Research, NGO",2,0,2
Revista aSEPHallus de Orientacao Lacaniana,3,0,3
Institute for Cognitive Science,1,0,1
American Public Health Association,11,1,10
"Faculty of Economics and Business, University of Zagreb",1,0,1
Nawroz University,2,0,2
Beyond the Horizon International Strategic Studies Group,1,0,1
"RISCOS - Associação Portuguesa de Riscos, Prevenção e Segurança",1,0,1
"Cardiofront, LLC",4,0,4
Universidad de Concepcion,3,0,3
Archives of Pathology and Laboratory Medicine,8,0,8
Fundacao Faculdade de Medicina,1,0,1
Instituto Estudios Fiscales,1,0,1
"Faculty of Philosophy, University of Novi Sad",1,0,1
New Prairie Press,2,0,2
Excellent Publishers,1,0,1
Ivan Franko National University of Lviv,3,0,3
The International Institute of Knowledge Management (TIIKM),4,0,4
European Regional Science Association,1,0,1
"BioInsights Publishing, Ltd.",1,0,1
Universidade Federal do Rio Grande do Sul,8,0,8
Document Academy,2,0,2
Institute of Metals and Technology,2,0,2
ECO-Vector LLC,1,0,1
Biomath Forum,3,0,3
Towarzystwo Naukowe W Toruniu,1,0,1
Index Copernicus,4,1,3
McMaster University Library Press,4,0,4
Universidade Estadual de Maringa,1,0,1
SBMAC,1,0,1
Publishing House Technologija,3,0,3
Universidade Federal da Bahia,2,0,2
The Journal of International Social Research,4,0,4
Rilem Publications SARL,2,0,2
"FSBI Center of Geodesy, Cartography, and SDI",1,1,0
Revista Grifos,1,0,1
Edizioni Ca Foscari,2,0,2
Korean Research Society of Physical Therapy,1,1,0
The Intelligent Networks and Systems Society,2,0,2
Engineering Research Publication ERP,2,0,2
Korean Society for Biochemistry and Molecular Biology - BMB Reports,1,0,1
Riga Technical University,3,0,3
Fundacao Edson Queiroz,4,0,4
American Society for Enology and Viticulture,1,1,0
International Global Health Society,4,0,4
ScienceOpen,13,0,13
"Publishing House for Science and Technology, Vietnam Academy of Science and Technology",7,2,5
Universidad ORT Uruguay,1,0,1
Bryansk State University,2,0,2
Openventio Publishers,9,0,9
Art-E Sanat Dergisi,1,0,1
Computing in Cardiology,24,0,24
Pirogov Russian National Research Medical University,1,0,1
"Frontline Medical Communications, Inc.",2,1,1
"Agrivita, Journal of Agricultural Science (AJAS)",1,0,1
American Society for Horticultural Science,2,0,2
International Journal of Advanced and Applied Sciences,2,0,2
Universidad de Valladolid,1,0,1
IM Publications Open LLP,2,0,2
"Scandinavian Journal of Work, Environment and Health",5,1,4
Czech Academy of Agricultural Sciences,7,0,7
ITMO University,2,0,2
Zeal Press,3,1,2
Presses de l'Université du Québec,3,3,0
Periodica Polytechnica Budapest University of Technology and Economics,2,0,2
Southern Cross Publishing,9,0,9
Society of Glass Technology,1,1,0
Academy & Industry Research Collaboration Center (AIRCC),3,0,3
Centro de Ensino Unificado de Brasilia,7,0,7
The Pipeline Transport Institute,3,3,0
American Association of Petroleum Geologists AAPG/Datapages,3,0,3
Contemporary Clinical Medicine,2,0,2
AEDERMACP (European Association for the Development of Renewable Energies and Power Quality),7,0,7
Biotechnical Faculty,2,0,2
HARD Publishing Company,1,0,1
Universitas Gadjah Mada,4,0,4
AI Access Foundation,5,0,5
"African Journal of Food, Agriculture, Nutrition and Development",1,0,1
Polish Geological Institute,1,0,1
Foundation of Computer Science,3,0,3
Universidad de Jaen,1,0,1
NIBD Journal of Health Sciences,2,0,2
Norden,5,5,0
James Cook University,2,0,2
Thieme Medical Publishers,2,2,0
Penerbit UTM Press,3,2,1
Cognitive-Crcs,1,0,1
International Journal for Research in Applied Science and Engineering Technology (IJRASET),1,0,1
Korean Society of Coloproctology,2,0,2
The Korean Society of Neurogastroenterology and Motility,2,0,2
Computational Structural Engineering Institute of Korea,2,2,0
The Korean Academy of Tuberculosis and Respiratory Diseases,1,0,1
The Korean Society of Cardiology,1,0,1
"SAGE Publications, Inc.",1,1,0
"Polska Akademia Nauk Instytut Paleobiologii (Institute of Paleobiology, Polish Academy of Sciences)",3,0,3
The Society of Laparoendoscopic Surgeons,2,0,2
Korean Neuropsychiatric Association,2,0,2
ZBW - German National Library of Economics,3,0,3
I.B. Tauris,2,2,0
Bloomsbury Publishing Plc,2,2,0
"University of Technology, Sydney",4,0,4
Centre Francais du Littoral,2,0,2
Polish Urological Association,1,0,1
Sociedade Paranaense de Matematica,1,0,1
Journal of Integrated Disaster Risk Management,1,0,1
Institute of Statistical Science,2,0,2
10.5935,1,0,1
Mushroom Research Foundation,2,0,2
Universities Federation for Animal Welfare,1,0,1
Fondazione Pro Herbario Mediterraneo,1,0,1
Estonian Literary Museum of Scholarly Press,6,1,5
University of Ljubljana,1,0,1
"Facultad Latinoamericana de Ciencias Sociales, Ecuador (FLACSO)",3,0,3
Classica - Revista Brasileira de Estudos Classicos,8,0,8
Desousa Foundation,1,0,1
Insight Turkey/SETA Vakfi,2,2,0
The Korean Society of Gastrointestinal Endoscopy,2,0,2
ASA,2,0,2
Nature Research Society,3,0,3
MIT Press,4,0,4
Japanese Circulation Society,4,0,4
Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika,4,0,4
Japan Society of Mechanical Engineers,13,11,2
Hosokawa Powder Technology Foundation,3,0,3
FSAEIHE South Ural State University (National Research University),1,0,1
"Elmer Press, Inc.",6,0,6
Foundation for the Promotion and Accreditation of Economic Education,2,1,1
"Alcohol Research Documentation, Inc.",5,5,0
Petrozavodsk State University,1,0,1
European Real Estate Society,4,3,1
GENES,3,1,2
FORMATH Research Group,1,0,1
Association for Medical Education in Europe (AMEE),7,0,7
The Operations Research Society of Japan,1,0,1
ICE Publishing,8,6,2
The Sax Institute,1,0,1
Universite de Sherbrooke,1,0,1
National Academies Press,4,3,1
"Arán Ediciones, S.L.",2,0,2
Siberian Federal University,1,0,1
UCLA American Indian Studies Center,1,1,0
Instituto de Treinamento e Pesquisa em Gestalt Terapia,1,0,1
International Solar Energy Society,1,0,1
CRIFPE,1,0,1
Opuscula Zoologica,2,0,2
VSMU N.N. Burdenko,1,0,1
Poznan University of Economics,2,0,2
Sistema de Bibliotecas PUCP,3,0,3
sdvig press,3,0,3
Cirad,3,0,3
Primakov Institute of World Economy and International Relations,2,0,2
"Institute of Philosophy, Russian Academy of Sciences",3,0,3
Alexandrine Press,2,1,1
Sociedade Brasileira de Quimica (SBQ),8,0,8
IBGE,1,0,1
Celsius Publishing House,2,0,2
Penza State University,4,0,4
Japanese Society of Internal Medicine,2,0,2
Scitechnol Biosoft Pvt. Ltd.,6,2,4
Society for Modeling and Simulation International (SCS),1,0,1
Latvijas Universitāte,1,0,1
Asia Pacific Academy of Ophthalmology,4,0,4
Les Presses de l'Université de Montréal,2,2,0
ACTA Press,1,1,0
Iron and Steel Institute of Japan,1,0,1
Southern Scientific Center of the Russian Academy of Sciences,1,0,1
Západočeská univerzita,3,0,3
Astrakhan State Technical University,4,2,2
Fund for Support and Development of Protected Areas,1,0,1
"Psi Chi, the International Honor Society in Psychology",1,0,1
ACG Publications,2,0,2
Universidad de La Laguna. Servicio de Publicaciones,3,0,3
Latin American Studies Association,4,0,4
Earth and Planetary Physics,2,0,2
IFIASA (Ideas Forum International Academic and Scientific Association),4,0,4
Pan American Health Organization,5,0,5
NIIC SB RAS,1,1,0
Informing Science Institute,1,0,1
Institute for Applied and Pure Mathematics (IMPA),15,0,15
Eurowaste SRL,1,0,1
Ural Branch of the RAS,1,0,1
Publishing House of National Academy Agrarian Sciences of Ukraine,2,0,2
Eotvos Lorand University (ELTE),1,0,1
Institute of Croatian Language and Linguistics,3,0,3
Agencia Estatal de Meteorología,1,0,1
LLC Praktika,6,6,0
ENGRES - Engineering Research Technical Report,3,1,2
Lviv State University of Life Safety,1,0,1
Cognitive Computational Neuroscience,3,2,1
State Ecology Academy of Postgraduate Education and Management,1,0,1
Regional Euro-Asian Biological Invasions Centre Oy (REABIC),2,0,2
Sociedade Civil Educacional Tuiuti Limitada,4,0,4
Allied Academies,3,1,2
"Cognizant, LLC",1,1,0
Naturalis Biodiversity Center,2,0,2
Research Publishing Services,2,2,0
International Medical Press,11,3,8
Armand Colin,2,2,0
La Découverte,1,1,0
Southern African Wildlife Management Association,1,1,0
Transformative Works and Cultures,1,0,1
Japan Institute of Heterocyclic Chemistry,1,0,1
Korean Neurological Association,1,0,1
Centro de estudios mexicanos y centroamericanos,3,1,2
Institut de la gestion publique et du développement économique,2,1,1
Ledizioni,4,1,3
Presses des Mines,2,2,0
Éditions de la Sorbonne,8,6,2
Presses de l'Université Saint-Louis,7,3,4
Revista DESC - Direito Economia e Sociedade Contemporanea,2,0,2
CREA - DC,1,0,1
Bashkir State Agrarian University,1,0,1
Universidade Federal de Goias,5,0,5
Institute for Problems in Mechanical Engineering of the Russian Academy of Sciences - IPME RAS,2,0,2
Humanities Perspectives Limited,2,0,2
"University of Sarajevo, Institute for Genetic Engineering and Biotechnology",1,0,1
Programa de Pos-Graduacao em Letras Vernaculas - PPGLEV,1,0,1
"Science and Education Publishing Co., Ltd.",3,0,3
Croatian Conservation Institute,2,0,2
Uniwersytet Przyrodniczy we Wroclawiu,2,1,1
International Journal Education and Teaching,1,0,1
Coastal Engineering Research Council,4,0,4
Chelonian Conservation and Biology Journal,2,1,1
University of Minnesota Press,7,7,0
RAFT IT and Publications Pvt Limited,1,0,1
Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,10,0,10
"Charles University in Prague, Karolinum Press",5,0,5
