publisher,size,closed,oa
"University Library System, University of Pittsburgh",15,0,15
"Rubber Division, ACS",1,1,0
WARC Limited,2,2,0
Greener Journals,6,0,6
BMJ Publishing Group Ltd and European League Against Rheumatism,352,3,349
Fundaci� Scito,1,1,0
Journal of Infection in Developing Countries,4,0,4
National Society for Cutaneous Medicine,1,0,1
The Korean Audiological Society,1,0,1
PAGEPress Publications,36,1,35
The Faculty of Law in Split,2,0,2
International Information and Engineering Technology Association,18,4,14
Korean Society for Parasitology,1,0,1
MultiMed Inc.,4,0,4
Italian Society of Sivilculture and Forest Ecology (SISEF),7,0,7
Journal of the Physical Society of Japan,16,0,16
Presses de l�Universit� Toulouse 1 Capitole,11,9,2
Presses universitaires du Septentrion,152,145,7
IGI Global,49,24,25
AACN Publishing,1,1,0
Offshore Technology Conference,4,4,0
"Institute of Mathematics, Polish Academy of Sciences",29,4,25
SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),28,0,28
Universidad Catolica del Norte - Chile,1,0,1
Medknow,72,12,60
Scientific Scholar,5,0,5
ACM,441,188,253
SAGE Publications Ltd,4,2,2
OMICS Publishing Group,394,47,347
Norwegian Society of Automatic Control,1,0,1
"Scientific Research Publishing, Inc.",175,0,175
"Scientific Research Publishing, Inc,",7,0,7
Genetics and Molecular Research,1,0,1
"Meteo et Climat, Societe Francaise de la Meteorologie et du Climat",14,13,1
International Press of Boston,53,7,46
"Medicina Oral, S.L.",6,0,6
Uniwersytet Jagiellonski - Wydawnictwo Uniwersytetu Jagiellonskiego,9,0,9
Royal College of Physicians of Edinburgh,6,0,6
Desalination Publications,14,14,0
Jaypee Brothers Medical Publishing,8,2,6
Korean Dermatological Association and The Korean Society for Investigative Dermatology,1,1,0
Bloomsbury Publishing plc,1,1,0
Arc Humanities Press,15,11,4
Termedia Sp. z.o.o.,6,1,5
Editions Paralia,77,0,77
SCITEPRESS - Science and Technology Publications,263,20,243
Growing Science,6,0,6
"Ubiquity Press, Ltd.",79,2,77
SynthesisHub Advance Scientific Research,1,0,1
Edorium Journals Pvt. Ltd.,1,0,1
AITO - Association Internationale pour les Technologies Objets,1,0,1
Journal of Singularities,8,4,4
ScopeMed Publishing,5,1,4
Smithsonian Institution,3,3,0
Jagiellonian University,17,4,13
Japan Atherosclerosis Society,1,0,1
Croatian Chemical Society,2,0,2
International Union Against Tuberculosis and Lung Disease,47,22,25
"Resilience Alliance, Inc.",12,0,12
Cellule MathDoc/CEDRAM,27,0,27
Philosophy Documentation Center,5,4,1
Diva Enterprises Private Limited,4,4,0
Digital Information Research Foundation,2,1,1
Universitat Jaume I,11,0,11
